id,name,rarity,description,image
SR013,寿喜锅,SR,日式火锅，超适合冬天吃哦！,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR013.png
SR014,异地恋,SR,距离不是问题，爱没学过地理,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR014.png
SR015,斜挎包,SR,购物袋背1年即可升级成帅气斜挎包,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR015.png
SR016,布加迪乐高,SR,小马同学拖延症的最有力证据,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR016.png
SR017,腿链,SR,腿链，顾名思义，把犯人的两个脚拴在一起以防逃跑,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR017.png
SR018,出轨玫瑰,SR,很久很久以前，小王子也能出轨玫瑰，玫瑰郁郁而终（耳熟不哈哈）,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR018.png
SR019,在郑州的晚间散步,SR,相恋中的人走3万步都不觉得累呢,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR019.png
SR020,二十首情诗和一首绝望的歌,SR,你是我荒地之上最后的玫瑰,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR020.png
R001,鹌鹑蛋牌眼药水,R,每一次都能精准投射到眼睛里,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R001.png
R002,有毒贝果,R,贝果版女巫的毒药：猜猜这些贝果里哪一个会让你胃炎发作？,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R002.png
R003,八朵卡萨布兰卡,R,永不磨灭的爱,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R003.png
R004,黑色T恤,R,小马同学即将成为下一个乔布斯,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R004.png
R005,老头乐,R,看起来很炫酷，开起来很急人,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R005.png
R006,爱心牌耐克鞋,R,坚决不能分手，分手之后只有一只可以穿,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R006.png
R007,微信公众号,R,小马的专属树洞，夏洛特的三天热度最好体现,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R007.png
R008,山东话,R,下次再听，我现在要去掰豆橛子了,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R008.png
R009,哈利波特,R,有没有山东话版哈利波特？,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R009.png
R010,迪士尼,R,终有一日，我们会在城堡下面接吻！,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R010.png
R011,宝可梦,R,去吧，皮卡丘！,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R011.png
R012,河南话,R,俺不中了,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R012.png
R013,伊布,R,是伊布也是皮皮,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R013.png
R014,挖掘机,R,超级无敌炫酷霹雳小闪光弹,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R014.png
R015,剧本杀,R,我们用别人的名字讲着别人的故事，却爱上了角色背后的人,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R015.png
R016,狐狸,R,只有用心才能看得清楚事物,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R016.png
R017,玫瑰,R,世界上有成千上万朵玫瑰，可是对于我来说，你是独一无二的,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R017.png
R018,小王子,R,他已经找到了属于自己的玫瑰,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R018.png
R019,王力宏演唱会,R,台湾小常远的票还真是好抢，可惜没带我555,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R019.png
R020,抖音打开全是广告,R,这个号算是养成了，家人们上车！,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R020.png
R021,Facetime视频,R,跨越时差的见面，网络一顿秒变定格画,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R021.png
R022,微信视频,R,日常必备，异国恋还依旧相爱的秘密,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R022.png
R023,变脸,R,不想吃火锅的川剧大师不是好厨子,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R023.png
R024,海底捞,R,因为女盆友吃的少而大发雷霆,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R024.png
R025,旺财和来福,R,这两个名字承载了宝宝对于他们的希望,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R025.png
R026,Switch2,R,送宝宝的第一个生日礼物，明年送Switch3,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R026.png
R027,赛车桌游,R,两个老司机的碰撞,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R027.png
R028,方舟动物园,R,建园快乐，破产更快,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R028.png
R029,星露谷,R,种地养老，顺便和宝宝谈云恋爱,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R029.png
R030,小蟑螂视角,R,趁着宝宝在忙小蟑螂要出动啦,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R030.png
R031,Costco,R,我怀疑里面有小偷，走进去就会失去100刀,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R031.png
R032,山姆,R,不去买了之后才发现物价有多低,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R032.png
R033,气泡音,R,当初宝宝就是这样吸引到我的注意的,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R033.png
R034,冰激凌,R,三分钟的快乐，十分钟的头痛,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R034.png
R035,榴莲月饼,R,谁能拒绝跟朋友聚餐时来一块榴莲月饼呢,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R035.png
R036,蟹黄面,R,只在视频里看过，什么时候做现实版给我吃呢,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R036.png
R037,星之卡比,R,星之卡比大战皮卡丘，谁能获胜？,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R037.png
R038,奶油,R,世界上最乖的小猫猫,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R038.png
R039,成都,R,火锅、麻辣串，还有想见到的人,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R039.png
R040,卡尔加里,R,能和你在雪中跳一支舞吗,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R040.png
R041,双人成行,R,和宝宝一起玩的第一个游戏！,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R041.png
R042,情侣app,R,最近宝宝还会上去写小作文咩,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R042.png
R043,日本代购,R,用宝宝给我代购的化妆品画出来的妆最美啦,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R043.png
R044,冰箱贴,R,世界各地的旅游证明,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R044.png
R045,三国志的痛苦,R,应该叫三国志还是648？,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R045.png
R046,小丑牌,R,Steam的打折游戏是让宝宝最接近赌博的一次,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R046.png
R047,吵架和好,R,异国恋实在是太难熬了，我们以后少吵架好不好～,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R047.png
R048,倔驴,R,如果我们两个去拉磨，一定是最出众的两个,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R048.png
R049,烤串,R,还记得我们一起吃的第一餐嘛？,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R049.png
R050,麦粒肿的折磨,R,长麦粒肿也遮不住宝宝帅气的脸庞,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/R050.png
N001,小幸运星,N,微微闪烁，但似乎没啥力量。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N001.png
N002,掉毛的猫咪,N,毛比实力更多。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N002.png
N003,半杯奶茶,N,少糖去冰，不是人人都喜欢。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N003.png
N004,摇摇欲坠的书架,N,可能掉下来，也可能撑很久。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N004.png
N005,卡住的键盘,N,敲一下有反应，敲两下更卡。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N005.png
N006,熬夜咖啡,N,精神+1，寿命-1。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N006.png
N007,老旧遥控器,N,电池换了还是不好用。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N007.png
N008,断网时刻,N,世界突然安静。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N008.png
N009,坏掉的充电线,N,充一会儿停一会儿。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N009.png
N010,路边小花,N,普普通通，但很努力开着。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N010.png
N011,倒霉袜子,N,永远只剩一只。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N011.png
N012,掉漆的水壶,N,看着糙，其实能用。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N012.png
N013,干巴巴的吐司,N,配啥都行，但单吃很寡淡。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N013.png
N014,慢吞吞的蜗牛,N,速度为零，心态满分。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N014.png
N015,旧校徽,N,才不会让你变强。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N015.png
N016,磨破的鞋子,N,走路+1，颜值-2。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N016.png
N017,一角硬币,N,只能买心安。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N017.png
N018,沙沙响的糖纸,N,吸引小朋友但没糖。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N018.png
N019,快过期的零食,N,吃还是不吃，这是个问题。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N019.png
N020,发霉的面包,N,生命危险buff。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N020.png
N021,旧雨伞,N,只能遮半边。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N021.png
N022,胶带,N,万能，但用完找不到头。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N022.png
N023,没墨的中性笔,N,写啥都靠意念。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N023.png
N024,打火机,N,总是一下点不着。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N024.png
N025,弹不动的吉他弦,N,比心态更紧。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N025.png
N026,过时的课本,N,知识点全是旧版本。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N026.png
N027,灯泡,N,闪烁频率比你眼睛快。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N027.png
N028,撕不开的快递袋,N,耐心测试机。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N028.png
N029,剩半格电的手机,N,永远在低电量警告。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N029.png
N030,脱线的毛衣,N,保暖-10。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N030.png
N031,卡顿的游戏机,N,永远卡在loading。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N031.png
N032,冰箱里的空气,N,凉快，但不管饱。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N032.png
N033,碎屏手机,N,使用体验随机掉血。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N033.png
N034,小学生的日记本,N,充满“今天吃了饭”。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N034.png
N035,齐刘海,N,普普通通的发型卡。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N035.png
N036,卡掉漆的指甲油,N,美丽仅三小时。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N036.png
N037,上锁的笔记本,N,没钥匙就是摆设。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N037.png
N038,黄掉的便利贴,N,写过啥没人能看清。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N038.png
N039,损坏的耳机,N,单边播放，音质玄学。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N039.png
N040,小区传单,N,打开就后悔。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N040.png
N041,快没油的打字机,N,复古，但几乎废品。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N041.png
N042,纸飞机,N,起飞五秒即坠机。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N042.png
N043,掉漆的铁门,N,咯吱一声就剧透了。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N043.png
N044,手办残件,N,曾经完整过。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N044.png
N045,旧硬盘,N,数据还在，就是打不开。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N045.png
N046,一次性筷子,N,弱但能凑合。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N046.png
N047,发黄的枕头,N,承载岁月痕迹。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N047.png
N048,迟到的闹钟,N,响在你起床以后。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N048.png
N049,没声音的风铃,N,风吹了也安静。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N049.png
N050,打结的耳机线,N,拆开需要一下午。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N050.png
N051,烂掉的番茄,N,看着鲜艳，其实危险。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N051.png
N052,透明雨衣,N,实用0，尴尬100。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N052.png
N053,没电的手电筒,N,纯装饰品。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N053.png
N054,生锈的钥匙,N,打不开任何门。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N054.png
N055,脱色的T恤,N,穿出独特风格。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N055.png
N056,便宜的打火机,N,点燃概率50%。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N056.png
N057,土味表情包,N,攻击力取决于对象。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N057.png
N058,快递纸箱,N,可收纳，但占地方。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N058.png
N059,划痕的眼镜,N,看世界模糊滤镜。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N059.png
N060,空白试卷,N,自由书写的勇气。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N060.png
N061,老式钟表,N,嘀嗒声比准确度强。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N061.png
N062,碎掉的花瓶,N,还能插两根花。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N062.png
N063,松掉的鞋带,N,走三步就松一次。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N063.png
N064,暖宝宝,N,热五分钟就凉。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N064.png
N065,折断的铅笔,N,削了又断。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N065.png
N066,便宜香水,N,味道持久但不美好。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N066.png
N067,塑料玫瑰,N,永远不凋谢，也永远没香味。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N067.png
N068,损坏的U盘,N,存了，但打不开。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N068.png
N069,廉价眼罩,N,挡不住光，压出痕。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N069.png
N070,沙漏,N,不准但好看。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N070.png
N071,撕坏的课本角,N,没人会在意。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N071.png
N072,便利商店小票,N,打印还带油渍。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N072.png
N073,过时的公交卡,N,纪念品属性+1。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N073.png
N074,二手耳塞,N,卫生-99。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N074.png
N075,学生证,N,再也进不去校园。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N075.png
N076,碎掉的镜子,N,照出不一样的你。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N076.png
N077,摇摇欲坠的梯子,N,勇气检测器。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N077.png
N078,烧糊的锅,N,煮啥都带烟熏味。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N078.png
N079,没声音的吉他,N,看着有范儿而已。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N079.png
N080,抽风的打印机,N,打印随机艺术。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N080.png
N081,过期公交月票,N,收藏价值>使用价值。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N081.png
N082,退色的照片,N,记忆模糊但温暖。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N082.png
N083,小石头,N,路边随处可见。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N083.png
N084,塑料小鸭,N,游泳池最弱守护神。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N084.png
N085,旧玩偶,N,毛掉一半仍在陪伴。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N085.png
N086,断裂的牙签,N,曾经坚强过。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N086.png
N087,便签本,N,写了撕，撕了丢。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N087.png
N088,没墨的印章,N,只能盖出影子。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N088.png
N089,廉价手表,N,指针走得比心快。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N089.png
N090,空钱包,N,轻便，毫无压力。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N090.png
N091,塑料勺,N,搅拌力MAX，攻击力0。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N091.png
N092,褪色的背包,N,装东西还行。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N092.png
N093,生锈的剪刀,N,咔嚓困难重重。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N093.png
N094,随手写的电话号码,N,永远打不通。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N094.png
N095,落单的扑克牌,N,无法凑成一副。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N095.png
N096,半罐汽水,N,一口气放光气。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N096.png
N097,累坏的风扇,N,吹风如叹息。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N097.png
N098,失灵的闹钟,N,有铃声，无准点。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N098.png
N099,裂开的陶碗,N,还勉强能用。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N099.png
N100,无名小草,N,平凡到几乎看不见。,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/N100.png
